,coach,coach_url
0,Tom Herman,/wiki/Tom_Herman
1,Ryan Silverfield,/wiki/Ryan_Silverfield
2,Brian Newberry,/wiki/Brian_Newberry_(American_football)
3,Eric Morris,/wiki/Eric_Morris_(American_football)
4,Mike Bloomgren,/wiki/Mike_Bloomgren
5,Rhett Lashlee,/wiki/Rhett_Lashlee
6,Alex Golesh,/wiki/Alex_Golesh
7,Stan Drayton,/wiki/Stan_Drayton
8,Willie Fritz,/wiki/Willie_Fritz
9,Kevin Wilson,/wiki/Kevin_Wilson_(American_football)
10,Trent Dilfer,/wiki/Trent_Dilfer
11,Jeff Traylor,/wiki/Jeff_Traylor
12,Jeff Hafley,/wiki/Jeff_Hafley
13,Dabo Swinney,/wiki/Dabo_Swinney
14,Mike Elko,/wiki/Mike_Elko
15,Mike Norvell,/wiki/Mike_Norvell
16,Brent Key,/wiki/Brent_Key
17,Jeff Brohm,/wiki/Jeff_Brohm
18,Mario Cristobal,/wiki/Mario_Cristobal
19,Mack Brown,/wiki/Mack_Brown
20,Dave Doeren,/wiki/Dave_Doeren
21,Pat Narduzzi,/wiki/Pat_Narduzzi
22,Dino Babers,/wiki/Dino_Babers
23,Tony Elliott,/wiki/Tony_Elliott_(American_football_coach)
24,Brent Pry,/wiki/Brent_Pry
25,Dave Clawson,/wiki/Dave_Clawson
26,Dave Aranda,/wiki/Dave_Aranda
27,Kalani Sitake,/wiki/Kalani_Sitake
28,Scott Satterfield,/wiki/Scott_Satterfield
29,Dana Holgorsen,/wiki/Dana_Holgorsen
30,Matt Campbell,/wiki/Matt_Campbell_(American_football_coach)
31,Lance Leipold,/wiki/Lance_Leipold
32,Chris Klieman,/wiki/Chris_Klieman
33,Brent Venables,/wiki/Brent_Venables
34,Mike Gundy,/wiki/Mike_Gundy
35,Sonny Dykes,/wiki/Sonny_Dykes
36,Steve Sarkisian,/wiki/Steve_Sarkisian
37,Joey McGuire,/wiki/Joey_McGuire
38,Gus Malzahn,/wiki/Gus_Malzahn
39,Neal Brown,/wiki/Neal_Brown
40,Bret Bielema,/wiki/Bret_Bielema
41,Tom Allen,/wiki/Tom_Allen_(American_football)
42,Kirk Ferentz,/wiki/Kirk_Ferentz
43,Mike Locksley,/wiki/Mike_Locksley
44,Jim Harbaugh,/wiki/Jim_Harbaugh
45,Mel Tucker,/wiki/Mel_Tucker
46,P. J. Fleck,/wiki/P._J._Fleck
47,Matt Rhule,/wiki/Matt_Rhule
48,David Braun[interim],/wiki/David_Braun_(American_football)
49,Ryan Day,/wiki/Ryan_Day_(American_football)
50,James Franklin,/wiki/James_Franklin_(American_football_coach)
51,Ryan Walters,/wiki/Ryan_Walters_(American_football)
52,Greg Schiano,/wiki/Greg_Schiano
53,Luke Fickell,/wiki/Luke_Fickell
54,Mike MacIntyre,/wiki/Mike_MacIntyre
55,Rich Rodriguez,/wiki/Rich_Rodriguez
56,Jamey Chadwell,/wiki/Jamey_Chadwell
57,Sonny Cumbie,/wiki/Sonny_Cumbie
58,Rick Stockstill,/wiki/Rick_Stockstill
59,Jerry Kill,/wiki/Jerry_Kill
60,K. C. Keeler,/wiki/K._C._Keeler
61,Dana Dimel,/wiki/Dana_Dimel
62,Tyson Helton,/wiki/Tyson_Helton
63,Jeff Monken,/wiki/Jeff_Monken
64,Marcus Freeman,/wiki/Marcus_Freeman_(American_football_coach)
65,Jim L. Mora,/wiki/Jim_L._Mora
66,Don Brown,/wiki/Don_Brown_(American_football_coach)
67,Joe Moorhead,/wiki/Joe_Moorhead
68,Mike Neu,/wiki/Mike_Neu
69,Scot Loeffler,/wiki/Scot_Loeffler
70,Maurice Linguist,/wiki/Maurice_Linguist
71,Jim McElwain,/wiki/Jim_McElwain
72,Chris Creighton,/wiki/Chris_Creighton
73,Kenni Burns,/wiki/Kenni_Burns
74,Chuck Martin,/wiki/Chuck_Martin_(American_football)
75,Thomas Hammock,/wiki/Thomas_Hammock
76,Tim Albin,/wiki/Tim_Albin
77,Jason Candle,/wiki/Jason_Candle
78,Lance Taylor,/wiki/Lance_Taylor_(American_football)
79,Troy Calhoun,/wiki/Troy_Calhoun
80,Andy Avalos,/wiki/Andy_Avalos
81,Jay Norvell,/wiki/Jay_Norvell
82,Jeff Tedford,/wiki/Jeff_Tedford
83,Timmy Chang,/wiki/Timmy_Chang
84,Ken Wilson,/wiki/Ken_Wilson_(American_football)
85,Danny Gonzales,/wiki/Danny_Gonzales
86,Brady Hoke,/wiki/Brady_Hoke
87,Brent Brennan,/wiki/Brent_Brennan
88,Barry Odom,/wiki/Barry_Odom
89,Blake Anderson,/wiki/Blake_Anderson_(American_football)
90,Craig Bohl,/wiki/Craig_Bohl
91,Jedd Fisch,/wiki/Jedd_Fisch
92,Kenny Dillingham,/wiki/Kenny_Dillingham
93,Justin Wilcox,/wiki/Justin_Wilcox_(American_football)
94,Deion Sanders,/wiki/Deion_Sanders
95,Dan Lanning,/wiki/Dan_Lanning
96,Jonathan Smith,/wiki/Jonathan_Smith_(American_football_coach)
97,Troy Taylor,/wiki/Troy_Taylor_(American_football)
98,Chip Kelly,/wiki/Chip_Kelly
99,Lincoln Riley,/wiki/Lincoln_Riley
100,Kyle Whittingham,/wiki/Kyle_Whittingham
101,Kalen DeBoer,/wiki/Kalen_DeBoer
102,Jake Dickert,/wiki/Jake_Dickert
103,Nick Saban,/wiki/Nick_Saban
104,Sam Pittman,/wiki/Sam_Pittman
105,Hugh Freeze,/wiki/Hugh_Freeze
106,Billy Napier,/wiki/Billy_Napier
107,Kirby Smart,/wiki/Kirby_Smart
108,Mark Stoops,/wiki/Mark_Stoops
