i_header,i_label,i_data,title,link,coach_name,id,org,role_1,role_2,role,coach_role,year
Coaching career (HC unless noted),1999,Bolles School (FL) (GA),The Bolles School,/wiki/The_Bolles_School,Ryan Silverfield,Q80119196,Bolles School,FL ,GA,GA,['GA'],['1999']
Coaching career (HC unless noted),1999,Bolles School (FL) (GA),Graduate assistant,/wiki/Graduate_assistant,Ryan Silverfield,Q80119196,Bolles School,FL ,GA,GA,['GA'],['1999']
Coaching career (HC unless noted),2000,Hampden–Sydney (off. asst.),Hampden–Sydney Tigers football,/wiki/Hampden%E2%80%93Sydney_Tigers_football,Ryan Silverfield,Q80119196,Hampden–Sydney,off. asst.,,off. asst.,['off. asst.'],['2000']
Coaching career (HC unless noted),2001–2002,Hampden–Sydney (DL),,,Ryan Silverfield,Q80119196,Hampden–Sydney,DL,,DL,['DL'],"['2001', '2002']"
Coaching career (HC unless noted),2003,Hampden–Sydney (TE),,,Ryan Silverfield,Q80119196,Hampden–Sydney,TE,,TE,['TE'],['2003']
Coaching career (HC unless noted),2004,Memorial Day HS,,,Ryan Silverfield,Q80119196,Memorial Day HS,,,HC,['HC'],['2004']
Coaching career (HC unless noted),2005,Jacksonville (QB),Jacksonville Dolphins football,/wiki/Jacksonville_Dolphins_football,Ryan Silverfield,Q80119196,Jacksonville,QB,,QB,['QB'],['2005']
Coaching career (HC unless noted),2006–2007,UCF (GA),UCF Knights football,/wiki/UCF_Knights_football,Ryan Silverfield,Q80119196,UCF,GA,,GA,['GA'],"['2006', '2007']"
Coaching career (HC unless noted),2008,Minnesota Vikings (OQC),Minnesota Vikings,/wiki/Minnesota_Vikings,Ryan Silverfield,Q80119196,Minnesota Vikings,OQC,,OQC,['OQC'],['2008']
Coaching career (HC unless noted),2009–2010,Minnesota Vikings (DL),,,Ryan Silverfield,Q80119196,Minnesota Vikings,DL,,DL,['DL'],"['2009', '2010']"
Coaching career (HC unless noted),2011–2013,Minnesota Vikings (OL),,,Ryan Silverfield,Q80119196,Minnesota Vikings,OL,,OL,['OL'],"['2011', '2013']"
Coaching career (HC unless noted),2014,Toledo (off. consultant),Toledo Rockets football,/wiki/Toledo_Rockets_football,Ryan Silverfield,Q80119196,Toledo,off. consultant,,off. consultant,['off. consultant'],['2014']
Coaching career (HC unless noted),2015,Arizona State (OA),Arizona State Sun Devils football,/wiki/Arizona_State_Sun_Devils_football,Ryan Silverfield,Q80119196,Arizona State,OA,,OA,['OA'],['2015']
Coaching career (HC unless noted),2015,Detroit Lions (OL),Detroit Lions,/wiki/Detroit_Lions,Ryan Silverfield,Q80119196,Detroit Lions,OL,,OL,['OL'],['2015']
Coaching career (HC unless noted),2016,Memphis (OL),Memphis Tigers football,/wiki/Memphis_Tigers_football,Ryan Silverfield,Q80119196,Memphis,OL,,OL,['OL'],['2016']
Coaching career (HC unless noted),2017–2018,Memphis (RGC/OL),,,Ryan Silverfield,Q80119196,Memphis,RGC/OL,,RGC/OL,"['RGC', 'OL']","['2017', '2018']"
Coaching career (HC unless noted),2019,Memphis (AHC/RGC/OL),,,Ryan Silverfield,Q80119196,Memphis,AHC/RGC/OL,,AHC/RGC/OL,"['AHC', 'RGC', 'OL']",['2019']
Coaching career (HC unless noted),2020–present,Memphis,,,Ryan Silverfield,Q80119196,Memphis,,,HC,['HC'],"['2020', 'present']"
Coaching career (HC unless noted),1999–2000,Southern Arkansas (GA/DB/WR),Southern Arkansas Muleriders football,/wiki/Southern_Arkansas_Muleriders_football,Brian Newberry,Q115768224,Southern Arkansas,GA/DB/WR,,GA/DB/WR,"['GA', 'DB', 'WR']","['1999', '2000']"
Coaching career (HC unless noted),1999–2000,Southern Arkansas (GA/DB/WR),Graduate assistant,/wiki/Graduate_assistant,Brian Newberry,Q115768224,Southern Arkansas,GA/DB/WR,,GA/DB/WR,"['GA', 'DB', 'WR']","['1999', '2000']"
Coaching career (HC unless noted),2001–2002,Washington & Lee (DC/DB),Washington and Lee Generals football,/wiki/Washington_and_Lee_Generals_football,Brian Newberry,Q115768224,Washington & Lee,DC/DB,,DC/DB,"['DC', 'DB']","['2001', '2002']"
Coaching career (HC unless noted),2001–2002,Washington & Lee (DC/DB),Defensive coordinator,/wiki/Defensive_coordinator,Brian Newberry,Q115768224,Washington & Lee,DC/DB,,DC/DB,"['DC', 'DB']","['2001', '2002']"
Coaching career (HC unless noted),2003,Lehigh (Asst. DB),Lehigh Mountain Hawks football,/wiki/Lehigh_Mountain_Hawks_football,Brian Newberry,Q115768224,Lehigh,Asst. DB,,Asst. DB,['Asst. DB'],['2003']
Coaching career (HC unless noted),2004–2006,Washington & Lee (DC/DB),,,Brian Newberry,Q115768224,Washington & Lee,DC/DB,,DC/DB,"['DC', 'DB']","['2004', '2006']"
Coaching career (HC unless noted),2007–2010,Elon (DB),Elon Phoenix football,/wiki/Elon_Phoenix_football,Brian Newberry,Q115768224,Elon,DB,,DB,['DB'],"['2007', '2010']"
Coaching career (HC unless noted),2011,Sewanee (DC/LB),Sewanee Tigers football,/wiki/Sewanee_Tigers_football,Brian Newberry,Q115768224,Sewanee,DC/LB,,DC/LB,"['DC', 'LB']",['2011']
Coaching career (HC unless noted),2012,Northern Michigan (DC),Northern Michigan Wildcats,/wiki/Northern_Michigan_Wildcats,Brian Newberry,Q115768224,Northern Michigan,DC,,DC,['DC'],['2012']
Coaching career (HC unless noted),2015–2018,Kennesaw State (DC/DB),Kennesaw State Owls football,/wiki/Kennesaw_State_Owls_football,Brian Newberry,Q115768224,Kennesaw State,DC/DB,,DC/DB,"['DC', 'DB']","['2015', '2018']"
Coaching career (HC unless noted),2019–2022,Navy (DC/S),Navy Midshipmen football,/wiki/Navy_Midshipmen_football,Brian Newberry,Q115768224,Navy,DC/S,,DC/S,"['DC', 'S']","['2019', '2022']"
Coaching career (HC unless noted),2023–present,Navy,,,Brian Newberry,Q115768224,Navy,,,HC,['HC'],"['2023', 'present']"
Coaching career (HC unless noted),2010,Houston (AOQC),Houston Cougars football,/wiki/Houston_Cougars_football,Eric Morris,Q5387136,Houston,AOQC,,AOQC,['AOQC'],['2010']
Coaching career (HC unless noted),2011,Houston (GA),Graduate assistant,/wiki/Graduate_assistant,Eric Morris,Q5387136,Houston,GA,,GA,['GA'],['2011']
Coaching career (HC unless noted),2012,Washington State (IWR),Washington State Cougars football,/wiki/Washington_State_Cougars_football,Eric Morris,Q5387136,Washington State,IWR,,IWR,['IWR'],['2012']
Coaching career (HC unless noted),2013,Texas Tech (co-OC/IWR),Texas Tech Red Raiders football,/wiki/Texas_Tech_Red_Raiders_football,Eric Morris,Q5387136,Texas Tech,co-OC/IWR,,co-OC/IWR,"['co-OC', 'IWR']",['2013']
Coaching career (HC unless noted),2013,Texas Tech (co-OC/IWR),Offensive coordinator,/wiki/Offensive_coordinator,Eric Morris,Q5387136,Texas Tech,co-OC/IWR,,co-OC/IWR,"['co-OC', 'IWR']",['2013']
Coaching career (HC unless noted),2014,Texas Tech (OC/WR),,,Eric Morris,Q5387136,Texas Tech,OC/WR,,OC/WR,"['OC', 'WR']",['2014']
Coaching career (HC unless noted),2015–2017,Texas Tech (OC/IWR),,,Eric Morris,Q5387136,Texas Tech,OC/IWR,,OC/IWR,"['OC', 'IWR']","['2015', '2017']"
