,coach_name,id,num_date,str_date,age,location
3,Ryan Silverfield,Q80119196,1980-08-04," August 4, 1980 ",43,
37,Eric Morris,Q5387136,1985-10-26," October 26, 1985 ",37,"Littlefield, Texas, U.S."
51,Mike Bloomgren,Q6846062,1977-01-25," January 25, 1977 ",46,"Tallahassee, Florida, U.S."
66,Rhett Lashlee,Q7320465,1983-06-09," June 9, 1983 ",40,"Springdale, Arkansas, U.S."
80,Alex Golesh,Q105496742,1984-06-24," June 24, 1984 ",39,"Moscow, Russian SFSR, Soviet Union"
81,Alex Golesh,Q105496742,1984-06-24," June 24, 1984 ",39,"Moscow, Russian SFSR, Soviet Union"
82,Alex Golesh,Q105496742,1984-06-24," June 24, 1984 ",39,"Moscow, Russian SFSR, Soviet Union"
97,Stan Drayton,Q7597616,1971-03-11," March 11, 1971 ",52,"Cleveland, Ohio, U.S."
115,Willie Fritz,Q8021517,1960-04-02," April 2, 1960 ",63,"Shawnee Mission, Kansas, U.S."
131,Kevin Wilson,Q6397297,1961-10-23," October 23, 1961 ",61,"Maiden, North Carolina, U.S."
132,Kevin Wilson,Q6397297,1961-10-23," October 23, 1961 ",61,"Maiden, North Carolina, U.S."
154,Trent Dilfer,Q195442,1972-03-13," March 13, 1972 ",51,"Santa Cruz, California, U.S."
165,Jeff Traylor,Q78115369,1968-05-09," May 9, 1968 ",55,"Gilmer, Texas, U.S."
174,Jeff Hafley,Q23016913,1979-04-04," April 4, 1979 ",44,"Montvale, New Jersey, U.S."
175,Jeff Hafley,Q23016913,1979-04-04," April 4, 1979 ",44,"Montvale, New Jersey, U.S."
190,Dabo Swinney,Q5207523,1969-11-20," November 20, 1969 ",53,"Birmingham, Alabama, U.S."
202,Mike Elko,Q28363928,1977-07-28," July 28, 1977 ",46,"South Brunswick, New Jersey, U.S."
218,Mike Norvell,Q16221480,1981-10-11," October 11, 1981 ",41,"Irving, Texas, U.S."
231,Brent Key,Q17505164,1978-08-01," August 1, 1978 ",45,"Birmingham, Alabama, U.S."
251,Mario Cristobal,Q6764626,1970-09-24," September 24, 1970 ",52,"Miami, Florida, U.S."
267,Mack Brown,Q13411875,1951-08-27," August 27, 1951 ",72,"Cookeville, Tennessee, U.S."
284,Dave Doeren,Q5228671,1971-12-03," December 3, 1971 ",51,"San Diego, California, U.S."
301,Pat Narduzzi,Q7143830,1966-04-22," April 22, 1966 ",57,"New Haven, Connecticut, U.S."
315,Dino Babers,Q5278486,1961-07-19," July 19, 1961 ",62,"Honolulu, Hawaii, U.S."
341,Tony Elliott,Q7822742,1979-11-26," November 26, 1979 ",43,"Watsonville, California, U.S."
351,Brent Pry,Q48784520,1970-04-01," April 1, 1970 ",53,"Altoona, Pennsylvania, U.S."
369,Dave Clawson,Q5228543,1967-08-16," August 16, 1967 ",56,"Youngstown, New York, U.S."
384,Dave Aranda,Q5228244,1976-09-29," September 29, 1976 ",46,"Kern County, California, U.S."
402,Kalani Sitake,Q6350585,1975-10-10," October 10, 1975 ",47,"Nukuʻalofa, Tonga"
415,Scott Satterfield,Q7437201,1972-12-21," December 21, 1972 ",50,"Hillsborough, North Carolina, U.S."
428,Dana Holgorsen,Q5214745,1971-06-21," June 21, 1971 ",52,"Davenport, Iowa, U.S."
441,Matt Campbell,Q6788434,1979-11-29," November 29, 1979 ",43,"Massillon, Ohio, U.S."
455,Lance Leipold,Q6483452,1964-05-06," May 6, 1964 ",59,"Jefferson, Wisconsin, U.S."
470,Chris Klieman,Q16197047,1967-09-27," September 27, 1967 ",55,"Waterloo, Iowa, U.S."
487,Brent Venables,Q4961578,1970-12-18," December 18, 1970 ",52,"Homestead, Fl, U.S."
501,Mike Gundy,Q6847094,1967-08-12," August 12, 1967 ",56,"Midwest City, Oklahoma, U.S."
513,Sonny Dykes,Q7562033,1969-11-09," November 9, 1969 ",53,"Big Spring, Texas, U.S."
531,Steve Sarkisian,Q7613847,1974-03-08," March 8, 1974 ",49,"Torrance, California, U.S."
547,Joey McGuire,Q109406516,1971-08-06," August 6, 1971 ",52,
556,Gus Malzahn,Q5620734,1965-10-28," October 28, 1965 ",57,"Irving, Texas, U.S."
573,Neal Brown,Q6984071,1980-03-11," March 11, 1980 ",43,"Louisville, Kentucky, U.S."
574,Neal Brown,Q6984071,1980-03-11," March 11, 1980 ",43,"Louisville, Kentucky, U.S."
588,Bret Bielema,Q4961919,1970-01-13," January 13, 1970 ",53,"Silvis, Illinois, U.S."
604,Tom Allen,Q27942281,1970-03-14," March 14, 1970 ",53,"New Castle, Indiana, U.S."
622,Kirk Ferentz,Q6415427,1955-08-01," August 1, 1955 ",68,"Royal Oak, Michigan, U.S."
635,Mike Locksley,Q16205924,1969-12-25," December 25, 1969 ",53,"Washington, D.C., U.S."
656,Jim Harbaugh,Q2631300,1963-12-23," December 23, 1963 ",59,"Toledo, Ohio, U.S."
672,Mel Tucker,Q6810891,1972-01-04," January 4, 1972 ",51,"Cleveland, Ohio, U.S."
691,P. J. Fleck,Q7117292,1980-11-29," November 29, 1980 ",42,"Sugar Grove, Illinois, U.S."
704,Matt Rhule,Q14950994,1975-01-31," January 31, 1975 ",48,"New York, New York, U.S."
736,Ryan Day,Q18921628,1979-03-12," March 12, 1979 ",44,"Manchester, New Hampshire, U.S."
