title,school_id,coach_name,coach_id,school,coach_role,year
The Bolles School,/wiki/The_Bolles_School,Ryan Silverfield,Q80119196,Bolles School,['GA'],['1999']
Hampden–Sydney Tigers football,/wiki/Hampden%E2%80%93Sydney_Tigers_football,Ryan Silverfield,Q80119196,Hampden–Sydney,['off. asst.'],['2000']
Jacksonville Dolphins football,/wiki/Jacksonville_Dolphins_football,Ryan Silverfield,Q80119196,Jacksonville,['QB'],['2005']
UCF Knights football,/wiki/UCF_Knights_football,Ryan Silverfield,Q80119196,UCF,['GA'],"['2006', '2007']"
Minnesota Vikings,/wiki/Minnesota_Vikings,Ryan Silverfield,Q80119196,Minnesota Vikings,['OQC'],['2008']
Toledo Rockets football,/wiki/Toledo_Rockets_football,Ryan Silverfield,Q80119196,Toledo,['off. consultant'],['2014']
Arizona State Sun Devils football,/wiki/Arizona_State_Sun_Devils_football,Ryan Silverfield,Q80119196,Arizona State,['OA'],['2015']
Detroit Lions,/wiki/Detroit_Lions,Ryan Silverfield,Q80119196,Detroit Lions,['OL'],['2015']
Memphis Tigers football,/wiki/Memphis_Tigers_football,Ryan Silverfield,Q80119196,Memphis,['OL'],['2016']
Southern Arkansas Muleriders football,/wiki/Southern_Arkansas_Muleriders_football,Brian Newberry,Q115768224,Southern Arkansas,"['GA', 'DB', 'WR']","['1999', '2000']"
Washington and Lee Generals football,/wiki/Washington_and_Lee_Generals_football,Brian Newberry,Q115768224,Washington & Lee,"['DC', 'DB']","['2001', '2002']"
Lehigh Mountain Hawks football,/wiki/Lehigh_Mountain_Hawks_football,Brian Newberry,Q115768224,Lehigh,['Asst. DB'],['2003']
Elon Phoenix football,/wiki/Elon_Phoenix_football,Brian Newberry,Q115768224,Elon,['DB'],"['2007', '2010']"
Sewanee Tigers football,/wiki/Sewanee_Tigers_football,Brian Newberry,Q115768224,Sewanee,"['DC', 'LB']",['2011']
Northern Michigan Wildcats,/wiki/Northern_Michigan_Wildcats,Brian Newberry,Q115768224,Northern Michigan,['DC'],['2012']
Kennesaw State Owls football,/wiki/Kennesaw_State_Owls_football,Brian Newberry,Q115768224,Kennesaw State,"['DC', 'DB']","['2015', '2018']"
Navy Midshipmen football,/wiki/Navy_Midshipmen_football,Brian Newberry,Q115768224,Navy,"['DC', 'S']","['2019', '2022']"
Houston Cougars football,/wiki/Houston_Cougars_football,Eric Morris,Q5387136,Houston,['AOQC'],['2010']
Washington State Cougars football,/wiki/Washington_State_Cougars_football,Eric Morris,Q5387136,Washington State,['IWR'],['2012']
Texas Tech Red Raiders football,/wiki/Texas_Tech_Red_Raiders_football,Eric Morris,Q5387136,Texas Tech,"['co-OC', 'IWR']",['2013']
Incarnate Word Cardinals football,/wiki/Incarnate_Word_Cardinals_football,Eric Morris,Q5387136,Incarnate Word,['HC'],"['2018', '2021']"
Washington State Cougars football,/wiki/Washington_State_Cougars_football,Eric Morris,Q5387136,Washington State,"['OC', 'QB']",['2022']
North Texas Mean Green football,/wiki/North_Texas_Mean_Green_football,Eric Morris,Q5387136,North Texas,['HC'],"['2023', 'present']"
Alabama Crimson Tide football,/wiki/Alabama_Crimson_Tide_football,Mike Bloomgren,Q6846062,Alabama,['GA'],"['1999', '2001']"
Catawba Indians football,/wiki/Catawba_Indians_football,Mike Bloomgren,Q6846062,Catawba,"['co-OC', 'OL', 'ST']","['2002', '2004']"
Delta State Statesmen football,/wiki/Delta_State_Statesmen_football,Mike Bloomgren,Q6846062,Delta State,"['OC', 'OL', 'ST']","['2005', '2006']"
