School,Conference,Head coach,First season,W,L,W%,W,L,W%,Offensive coordinator(s),Defensive coordinator(s),Special teams coordinator(s),team_url,hc_url,oc_url,dc_url,sc_url
Florida Atlantic Owls,The American,Tom Herman,2023,1,0,1.000,55,22,.714,Charlie Frye,Roc Bellantoni,Chad Lunsford,/wiki/Florida_Atlantic_Owls_football,/wiki/Tom_Herman,/wiki/Charlie_Frye,/w/index.php?title=Roc_Bellantoni&action=edit&redlink=1,/wiki/Chad_Lunsford
Memphis Tigers,The American,Ryan Silverfield,2020,22,16,.579,22,16,.579,Tim Cramsey,Matt Barnes,Chris White,/wiki/Memphis_Tigers_football,/wiki/Ryan_Silverfield,/wiki/Tim_Cramsey,/wiki/Matt_Barnes_(coach),/w/index.php?title=Chris_White_(American_football_coach)&action=edit&redlink=1
Navy Midshipmen,The American,Brian Newberry,2023,0,1,.000,0,1,.000,Grant Chesnut,P.J. Volker,Ricky Brown,/wiki/Navy_Midshipmen_football,/wiki/Brian_Newberry_(American_football),/w/index.php?title=Grant_Chesnut&action=edit&redlink=1,/w/index.php?title=P.J._Volker&action=edit&redlink=1,/wiki/Ricky_Brown
North Texas Mean Green,The American,Eric Morris,2023,0,1,.000,0,1,.000,Jordan Davis,Matt Caponi,Drew Svoboda,/wiki/North_Texas_Mean_Green_football,/wiki/Eric_Morris_(American_football),/wiki/Jordan_Davis_(American_football_coach),/wiki/Matt_Caponi,/w/index.php?title=Drew_Svoboda&action=edit&redlink=1
Rice Owls,The American,Mike Bloomgren,2018,16,40,.286,16,40,.286,Marques Tuiasosopo,Brian Smith,Pete Alamar,/wiki/Rice_Owls_football,/wiki/Mike_Bloomgren,/wiki/Marques_Tuiasosopo,"/w/index.php?title=Brian_Smith_(American_football_coach,_born_1979)&action=edit&redlink=1",/w/index.php?title=Pete_Alamar&action=edit&redlink=1
SMU Mustangs,The American,Rhett Lashlee,2022,8,6,.571,8,6,.571,Casey Woods,Scott Symons,Kyle Cooper,/wiki/SMU_Mustangs_football,/wiki/Rhett_Lashlee,/wiki/Casey_Woods,/w/index.php?title=Scott_Symons_(American_football)&action=edit&redlink=1,/w/index.php?title=Kyle_Cooper_(American_football)&action=edit&redlink=1
South Florida Bulls,The American,Alex Golesh,2023,0,1,.000,0,1,.000,Joel Gordon / Matt Merritt,Todd Orlando,Chad Creamer,/wiki/South_Florida_Bulls_football,/wiki/Alex_Golesh,/w/index.php?title=Joel_Gordon_(American_football)&action=edit&redlink=1|/w/index.php?title=Matt_Merritt&action=edit&redlink=1,/wiki/Todd_Orlando,/w/index.php?title=Chad_Creamer&action=edit&redlink=1
Temple Owls,The American,Stan Drayton,2022,4,9,.308,4,9,.308,Danny Langsdorf,Everett Withers,Adam Scheier,/wiki/Temple_Owls_football,/wiki/Stan_Drayton,/wiki/Danny_Langsdorf,/wiki/Everett_Withers,/wiki/Adam_Scheier
Tulane Green Wave,The American,Willie Fritz,2016,44,45,.494,61,52,.540,Slade Nagle,Shiel Wood,Greg McMahon,/wiki/Tulane_Green_Wave_football,/wiki/Willie_Fritz,/w/index.php?title=Slade_Nagle&action=edit&redlink=1,/w/index.php?title=Shiel_Wood&action=edit&redlink=1,/wiki/Greg_McMahon
Tulsa Golden Hurricane,The American,Kevin Wilson,2023,1,0,1.000,27,47,.365,Steve Spurrier Jr.,Chris Polizzi,Joe Bolden,/wiki/Tulsa_Golden_Hurricane_football,/wiki/Kevin_Wilson_(American_football),/wiki/Steve_Spurrier_Jr.,/w/index.php?title=Chris_Polizzi&action=edit&redlink=1,/wiki/Joe_Bolden
